,fairness,utility,total
0,2.0901,0.4492342275439913,-2.0901
1,0.422,0.48793029508171926,-0.422
2,0.3186,0.4989478294284237,-0.3186
3,0.2966,0.49832425179452666,-0.2966
4,0.2951,0.5007930473562915,-0.2951
5,0.3175,0.5019589343340599,-0.3175
6,0.2329,0.5019197858289134,-0.2329
7,0.2218,0.5024689367387268,-0.2218
8,0.2207,0.5007509121967502,-0.2207
9,0.1856,0.49744880197428176,-0.1856
10,0.1954,0.4959042335496303,-0.1954
11,0.1872,0.4956834675038078,-0.1872
12,0.1896,0.49524743334134425,-0.1896
13,0.2076,0.4958193719187034,-0.2076
14,0.2144,0.49621146875007704,-0.2144
15,0.1854,0.4960254387802964,-0.1854
16,0.194,0.4961986584234495,-0.194
17,0.2054,0.4964544400924081,-0.2054
18,0.2094,0.4956799679913519,-0.2094
19,0.2224,0.4956900383737,-0.2224
20,0.2389,0.4954156474717762,-0.2389
21,0.2504,0.4962518332516249,-0.2504
22,0.255,0.4963307630704785,-0.255
23,0.2501,0.4969575682738319,-0.2501
24,0.2506,0.49670287808308716,-0.2506
25,0.2369,0.49744525889090097,-0.2369
26,0.2342,0.4984718695536233,-0.2342
27,0.2297,0.4981152632782819,-0.2297
28,0.227,0.49887895192751197,-0.227
29,0.23,0.49773069112323226,-0.23
30,0.2197,0.4991550378966246,-0.2197
31,0.2056,0.49768716711655336,-0.2056
32,0.1921,0.49825826410881685,-0.1921
33,0.1822,0.49859984711766764,-0.1822
34,0.1861,0.4983556611138486,-0.1861
35,0.1768,0.49941049742737065,-0.1768
36,0.182,0.49987138173094314,-0.182
37,0.182,0.49980330696747943,-0.182
38,0.1793,0.49930108959961916,-0.1793
39,0.1758,0.4994786216432448,-0.1758
40,0.167,0.4990805287040016,-0.167
41,0.1556,0.499471186392946,-0.1556
42,0.1588,0.49974629723812325,-0.1588
43,0.1651,0.49976084102119916,-0.1651
44,0.1698,0.4998463090542937,-0.1698
45,0.1706,0.49944943327926455,-0.1706
46,0.1838,0.4993453061020013,-0.1838
47,0.1812,0.4998123434537402,-0.1812
48,0.1736,0.4995364343632618,-0.1736
49,0.1671,0.4998635131764032,-0.1671
50,0.1583,0.49984023653264803,-0.1583
51,0.1539,0.4996921833595191,-0.1539
52,0.1391,0.49971491533425183,-0.1391
53,0.1313,0.49996922716447284,-0.1313
54,0.1258,0.5000596813506846,-0.1258
55,0.1287,0.5002762007213177,-0.1287
56,0.1226,0.5000512485238002,-0.1226
57,0.1286,0.4999893033666155,-0.1286
58,0.1307,0.5004344790668049,-0.1307
59,0.1369,0.5006078459942963,-0.1369
